drugName,condition,n_reviews,avg_rating,sentiment_score,total_useful
Stendra,Erectile Dysfunction,36,6.14,0.6741,1229
Muse,Erectile Dysfunction,22,5.55,0.6015,1354
Yohimbine,Erectile Dysfunction,5,4.6,0.5293,42
Omeprazole,Erosive Esophagitis,8,9.0,0.9578,197
Rabeprazole,Erosive Esophagitis,6,8.5,0.822,105
Lansoprazole,Erosive Esophagitis,5,10.0,0.8182,97
Aciphex,Erosive Esophagitis,5,8.2,0.7902,96
Dexlansoprazole,Erosive Esophagitis,12,9.08,0.7725,352
Esomeprazole,Erosive Esophagitis,6,9.17,0.7725,110
Nexium,Erosive Esophagitis,6,9.17,0.7725,110
Dexilant,Erosive Esophagitis,8,9.38,0.7462,303
Pantoprazole,Erosive Esophagitis,10,6.9,0.7109,281
Acetylcysteine,Expectoration,9,8.78,0.8899,237
Trihexyphenidyl,Extrapyramidal Reaction,7,8.14,0.7251,35
Benztropine,Extrapyramidal Reaction,11,8.09,0.6913,265
Cogentin,Extrapyramidal Reaction,6,6.83,0.5903,189
FreshKote,Eye Redness,8,9.62,0.8878,189
Ocular lubricant,Eye Redness,35,7.66,0.733,515
Systane,Eye Redness,5,3.4,0.3053,139
Naphazoline / pheniramine,Eye Redness/Itching,13,7.54,0.7372,88
Opcon-A,Eye Redness/Itching,9,6.67,0.6237,82
Tetrahydrozoline / zinc sulfate,Eye Redness/Itching,10,3.3,0.4646,44
Visine Totality Multi-Symptom Relief,Eye Redness/Itching,10,3.3,0.4646,44
Nizatidine,GERD,5,9.6,0.9629,36
Aciphex,GERD,29,9.41,0.9198,701
Prilosec OTC,GERD,9,9.11,0.915,327
Prevacid,GERD,39,8.72,0.8987,1077
Rabeprazole,GERD,33,8.73,0.8976,722
Lansoprazole,GERD,50,7.98,0.8474,1244
Ranitidine,GERD,61,7.82,0.8264,2100
Zegerid,GERD,13,7.92,0.8238,230
Zantac,GERD,14,7.29,0.8196,602
Sucralfate,GERD,20,7.2,0.8137,976
Esomeprazole,GERD,81,7.74,0.7996,2064
Omeprazole / sodium bicarbonate,GERD,18,8.0,0.7929,251
Omeprazole,GERD,77,7.95,0.7921,2549
Nexium,GERD,73,7.59,0.7851,2048
Prilosec,GERD,21,7.67,0.7823,1096
Zantac 150,GERD,21,7.9,0.7798,1000
Kapidex,GERD,17,8.0,0.7759,220
Carafate,GERD,9,5.89,0.7559,529
Dexlansoprazole,GERD,113,6.81,0.6843,3536
Famotidine,GERD,9,6.56,0.6838,150
Dexilant,GERD,89,6.62,0.6772,3302
Protonix,GERD,31,6.97,0.6768,1778
Pantoprazole,GERD,73,6.51,0.6393,2714
Metoclopramide,GERD,18,4.5,0.566,251
Reglan,GERD,11,4.55,0.5204,213
Gas-X,Gas,8,8.0,0.8035,456
Simethicone,Gas,9,7.44,0.7565,457
Ondansetron,Gastroenteritis,25,9.36,0.8973,573
Zofran,Gastroenteritis,21,9.43,0.8831,548
Gleevec,Gastrointestinal Stromal Tum,5,9.0,0.9742,161
Imatinib,Gastrointestinal Stromal Tum,5,9.0,0.9742,161
Metoclopramide,Gastroparesis,30,6.43,0.6853,1112
Reglan,Gastroparesis,20,6.15,0.6477,1005
Celexa,Generalized Anxiety Disorde,5,8.4,0.9112,479
Lyrica,Generalized Anxiety Disorde,17,8.88,0.9057,1667
Pregabalin,Generalized Anxiety Disorde,158,8.32,0.8801,9807
Lexapro,Generalized Anxiety Disorde,268,8.45,0.8661,15810
Escitalopram,Generalized Anxiety Disorde,392,8.24,0.8421,17188
Citalopram,Generalized Anxiety Disorde,95,8.09,0.8405,4459
Quetiapine,Generalized Anxiety Disorde,100,7.59,0.8192,4800
Seroquel XR,Generalized Anxiety Disorde,5,7.0,0.8168,318
Sertraline,Generalized Anxiety Disorde,79,7.72,0.805,2585
Paroxetine,Generalized Anxiety Disorde,59,7.78,0.8027,1696
Paxil,Generalized Anxiety Disorde,40,7.75,0.7838,1483
Paxil CR,Generalized Anxiety Disorde,5,8.0,0.7664,156
Effexor XR,Generalized Anxiety Disorde,42,6.79,0.7392,2261
Venlafaxine,Generalized Anxiety Disorde,94,6.63,0.7339,3616
Seroquel,Generalized Anxiety Disorde,14,7.43,0.7333,982
Cymbalta,Generalized Anxiety Disorde,81,6.68,0.7158,4574
Duloxetine,Generalized Anxiety Disorde,87,6.75,0.7143,4590
Metronidazole,Giardiasis,16,6.31,0.5335,89
Chlorhexidine,Gingivitis,8,8.62,0.7251,289
Brimonidine / timolol,Glaucoma,9,6.22,0.6758,157
Combigan,Glaucoma,9,6.22,0.6758,157
Diamox,Glaucoma,9,5.33,0.5512,157
Acetazolamide,Glaucoma,16,5.56,0.5473,202
Xalatan,"Glaucoma, Open Angle",5,7.8,0.6531,266
Bimatoprost,"Glaucoma, Open Angle",6,6.17,0.6229,168
Lumigan,"Glaucoma, Open Angle",6,6.17,0.6229,168
Dorzolamide,"Glaucoma, Open Angle",5,7.4,0.5956,23
Latanoprost,"Glaucoma, Open Angle",12,5.67,0.5035,331
Dorzolamide / timolol,"Glaucoma, Open Angle",6,5.17,0.4669,21
Bevacizumab,Glioblastoma Multi,6,9.0,0.8639,359
Avastin,Glioblastoma Multiforme,6,9.0,0.8639,359
Febuxostat,Gout,36,8.36,0.8901,997
Uloric,Gout,32,8.22,0.8798,988
Allopurinol,Gout,44,7.91,0.8666,1737
Aleve,"Gout, Acute",8,8.62,0.8877,428
Naproxen,"Gout, Acute",30,8.77,0.8788,1052
Indocin,"Gout, Acute",10,8.9,0.876,479
Indomethacin,"Gout, Acute",91,8.2,0.8746,2912
Methylprednisolone,"Gout, Acute",28,9.11,0.8547,798
Colchicine,"Gout, Acute",43,7.91,0.812,774
Colcrys,"Gout, Acute",20,7.7,0.7881,512
Prednisone,Gouty Arthritis,35,9.26,0.9346,1441
Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,76,9.46,0.9375,1263
Stribild,HIV Infection,76,9.46,0.9375,1263
Efavirenz / emtricitabine / tenofovir,HIV Infection,91,9.12,0.9246,1420
Atripla,HIV Infection,88,9.1,0.9221,1416
Isentress,HIV Infection,12,8.83,0.907,62
Raltegravir,HIV Infection,13,8.62,0.8779,62
Emtricitabine / tenofovir,HIV Infection,10,9.1,0.858,98
Truvada,HIV Infection,10,9.1,0.858,98
Complera,HIV Infection,49,8.27,0.8494,679
Emtricitabine / rilpivirine / tenofovir,HIV Infection,49,8.27,0.8494,679
Triumeq,HIV Infection,69,8.46,0.8396,900
Abacavir / dolutegravir / lamivudine,HIV Infection,70,8.41,0.8381,901
Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,HIV Infection,55,7.96,0.7972,525
Genvoya,HIV Infection,55,7.96,0.7972,525
Tivicay,HIV Infection,11,8.27,0.7754,40
Dolutegravir,HIV Infection,13,8.0,0.7522,41
Efavirenz,HIV Infection,6,5.67,0.6548,8
Nature-Throid,Hashimoto's disease,17,8.0,0.8026,1522
Tirosint,Hashimoto's disease,21,8.24,0.7996,1075
Armour Thyroid,Hashimoto's disease,41,7.95,0.7778,3513
Thyroid desiccated,Hashimoto's disease,65,7.92,0.7743,5151
Levothyroxine,Hashimoto's disease,66,7.08,0.6964,2285
Synthroid,Hashimoto's disease,21,6.43,0.6481,840
Levoxyl,Hashimoto's disease,6,6.17,0.5208,167
Spinosad,Head Lice,6,8.33,0.8204,154
Natroba,Head Lice,5,8.0,0.7886,151
Malathion,Head Lice,5,9.2,0.6841,146
Ivermectin,Head Lice,36,6.94,0.6474,429
Sklice,Head Lice,35,6.91,0.6434,349
Acetaminophen / phenyltoloxamine,Headache,7,9.71,0.9739,71
Prodrin,Headache,5,8.4,0.9603,40
Acetaminophen / caffeine / isometheptene mucate,Headache,8,8.75,0.9579,44
Aspirin / butalbital / caffeine / codeine,Headache,23,9.65,0.9514,469
Fiorinal with Codeine,Headache,11,9.36,0.9498,328
Fioricet with Codeine,Headache,15,9.47,0.9402,285
Advil,Headache,5,8.2,0.9174,28
Acetaminophen / butalbital,Headache,14,9.14,0.9084,158
Esgic,Headache,9,9.67,0.9075,77
Acetaminophen / butalbital / caffeine / codeine,Headache,21,9.43,0.9057,330
Aspirin / butalbital / caffeine,Headache,15,9.2,0.9012,221
Fiorinal,Headache,13,9.31,0.8928,188
Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,62,8.71,0.8778,520
Fioricet,Headache,121,8.74,0.8675,3677
Ibuprofen,Headache,18,7.89,0.8672,102
Naproxen,Headache,26,8.62,0.8644,774
Esgic-Plus,Headache,12,9.25,0.8588,135
Acetaminophen / butalbital / caffeine,Headache,176,8.77,0.8547,4109
Dolgic Plus,Headache,7,8.43,0.7788,34
Acetaminophen / caffeine,Headache,5,9.4,0.7233,25
Aleve,Headache,5,8.0,0.6255,150
Trazodone,Headache,5,3.2,0.5701,218
Acetaminophen / diphenhydramine,Headache,6,5.17,0.4903,54
Plavix,Heart Attack,19,9.05,0.9101,2118
Clopidogrel,Heart Attack,24,8.08,0.7888,2165
Metoprolol,Heart Attack,8,6.12,0.5529,287
Carvedilol,Heart Failure,25,9.28,0.9231,886
Coreg,Heart Failure,15,9.53,0.9175,690
Furosemide,Heart Failure,6,9.17,0.8265,179
Entresto,Heart Failure,14,4.86,0.4142,473
Sacubitril / valsartan,Heart Failure,14,4.86,0.4142,473
Prevpac,Helicobacter Pylori Infection,45,7.67,0.7971,917
Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,61,7.3,0.7447,1004
Metronidazole,Helicobacter Pylori Infection,14,6.36,0.7099,135
Bismuth subcitrate potassium / metronidazole / tetracycline,Helicobacter Pylori Infection,84,6.14,0.6292,1485
Pylera,Helicobacter Pylori Infection,81,6.09,0.623,1485
Clarithromycin,Helicobacter Pylori Infection,24,5.5,0.6049,247
Proctofoam,Hemorrhoids,24,9.62,0.9423,348
Pramoxine,Hemorrhoids,25,9.56,0.939,350
Analpram-HC,Hemorrhoids,10,8.2,0.874,226
Hydrocortisone / pramoxine,Hemorrhoids,17,8.47,0.8446,332
Hydrocortisone,Hemorrhoids,7,7.71,0.7894,185
Lidocaine,Hemorrhoids,7,6.86,0.7275,57
Xifaxan,Hepatic Encephalopathy,5,8.2,0.8061,119
Rifaximin,Hepatic Encephalopathy,7,7.29,0.743,135
Tenofovir,Hepatitis B,10,8.2,0.7585,243
Viread,Hepatitis B,8,7.88,0.6995,228
Daclatasvir,Hepatitis C,9,9.78,0.8996,60
Daklinza,Hepatitis C,9,9.78,0.8996,60
Elbasvir / grazoprevir,Hepatitis C,28,8.82,0.8897,421
Zepatier,Hepatitis C,28,8.82,0.8897,421
Ledipasvir / sofosbuvir,Hepatitis C,272,8.72,0.8715,8429
Harvoni,Hepatitis C,268,8.74,0.8709,8428
Sofosbuvir / velpatasvir,Hepatitis C,64,8.03,0.8674,1009
Epclusa,Hepatitis C,59,8.0,0.8657,945
Peginterferon alfa-2a,Hepatitis C,14,7.07,0.8312,126
Dasabuvir / ombitasvir / paritaprevir / ritonavir,Hepatitis C,8,6.5,0.8232,139
Viekira Pak,Hepatitis C,8,6.5,0.8232,139
Incivek,Hepatitis C,6,8.17,0.823,94
Pegasys,Hepatitis C,10,6.4,0.8029,122
Telaprevir,Hepatitis C,9,8.0,0.758,103
Ribavirin,Hepatitis C,7,6.0,0.7501,68
Sofosbuvir,Hepatitis C,42,7.6,0.7489,597
Sovaldi,Hepatitis C,39,7.72,0.7464,596
Lecithin,Herbal Supplementation,6,9.5,0.9054,258
C1 esterase inhibitor (human),Hereditary Angioedema,5,8.6,0.7125,22
Zovirax,Herpes Simplex,7,7.43,0.8698,179
Lysine,Herpes Simplex,13,8.23,0.787,200
Acyclovir,Herpes Simplex,66,8.06,0.7747,1731
Docosanol,Herpes Simplex,215,5.97,0.6142,2233
Abreva,Herpes Simplex,205,5.89,0.6024,2230
Valacyclovir,"Herpes Simplex, Mucocutaneous/Immunocompetent Host",5,9.6,0.7926,72
Acyclovir,"Herpes Simplex, Suppression",19,8.68,0.882,577
Valtrex,"Herpes Simplex, Suppression",60,8.75,0.8769,3237
Lysine,"Herpes Simplex, Suppression",34,9.44,0.8691,1693
Valacyclovir,"Herpes Simplex, Suppression",89,8.42,0.8389,3383
Acyclovir,Herpes Zoste,7,8.57,0.8603,138
Valtrex,Herpes Zoste,6,8.33,0.8183,257
Famciclovir,Herpes Zoste,5,8.0,0.8107,96
Valacyclovir,Herpes Zoste,13,8.38,0.78,328
Zoster vaccine live,"Herpes Zoster, Prophylaxis",5,4.4,0.732,90
Thorazine,Hiccups,13,8.54,0.8512,250
Chlorpromazine,Hiccups,14,8.64,0.8328,252
Amlodipine / olmesartan,High Blood Pressure,53,8.62,0.8997,1294
Azor,High Blood Pressure,53,8.62,0.8997,1294
Avalide,High Blood Pressure,5,9.6,0.8959,58
Hydrochlorothiazide / irbesartan,High Blood Pressure,6,9.33,0.8661,58
Catapres-TTS,High Blood Pressure,5,7.4,0.8433,314
Cartia XT,High Blood Pressure,5,8.6,0.8422,184
Amlodipine / telmisartan,High Blood Pressure,6,8.83,0.816,74
Twynsta,High Blood Pressure,6,8.83,0.816,74
Benicar,High Blood Pressure,80,7.64,0.7994,3538
Olmesartan,High Blood Pressure,94,7.54,0.7841,3625
Toprol-XL,High Blood Pressure,26,7.23,0.7619,1634
Diovan HCT,High Blood Pressure,18,6.89,0.7548,545
Hydrochlorothiazide / valsartan,High Blood Pressure,18,6.89,0.7548,545
Tenormin,High Blood Pressure,9,7.11,0.7491,656
Hydrochlorothiazide / telmisartan,High Blood Pressure,12,7.67,0.7372,153
Clonidine,High Blood Pressure,44,6.61,0.7345,2122
Benicar HCT,High Blood Pressure,23,6.91,0.7343,393
Felodipine,High Blood Pressure,5,6.8,0.7281,102
Hydrochlorothiazide / lisinopril,High Blood Pressure,39,6.92,0.7278,1758
Hydrochlorothiazide / olmesartan,High Blood Pressure,24,6.67,0.7268,393
Hyzaar,High Blood Pressure,15,6.8,0.7161,693
Prinivil,High Blood Pressure,8,5.5,0.7157,548
Micardis HCT,High Blood Pressure,11,7.45,0.7156,153
Altace,High Blood Pressure,6,6.83,0.7138,605
Guanfacine,High Blood Pressure,9,6.67,0.7126,103
Bisoprolol,High Blood Pressure,6,9.17,0.7038,291
Doxazosin,High Blood Pressure,9,7.33,0.7032,374
Aliskiren,High Blood Pressure,23,7.3,0.7022,504
Tekturna,High Blood Pressure,23,7.3,0.7022,504
Cozaar,High Blood Pressure,46,6.24,0.7011,4982
Bystolic,High Blood Pressure,134,6.66,0.6979,6052
Atenolol,High Blood Pressure,81,6.83,0.6959,3030
Nebivolol,High Blood Pressure,139,6.66,0.6959,6107
Azilsartan medoxomil / chlorthalidone,High Blood Pressure,11,6.91,0.6951,159
Edarbyclor,High Blood Pressure,11,6.91,0.6951,159
Hydrochlorothiazide / losartan,High Blood Pressure,36,6.97,0.6809,1246
Amlodipine / hydrochlorothiazide / olmesartan,High Blood Pressure,15,7.47,0.6785,207
Tribenzor,High Blood Pressure,15,7.47,0.6785,207
Lotrel,High Blood Pressure,19,6.68,0.6754,602
Spironolactone,High Blood Pressure,21,6.29,0.6607,1096
Diovan,High Blood Pressure,52,6.31,0.6595,3400
Ziac,High Blood Pressure,14,6.14,0.6593,169
Ramipril,High Blood Pressure,44,6.86,0.6556,1807
Verapamil,High Blood Pressure,9,7.0,0.6525,264
Bisoprolol / hydrochlorothiazide,High Blood Pressure,24,6.0,0.6518,230
Atacand,High Blood Pressure,5,5.6,0.6507,139
Metoprolol,High Blood Pressure,129,6.27,0.646,6508
Micardis,High Blood Pressure,24,6.12,0.6366,1344
Valturna,High Blood Pressure,8,5.75,0.6343,42
Hydrochlorothiazide,High Blood Pressure,91,5.56,0.6276,4671
Lopressor,High Blood Pressure,8,6.75,0.6253,438
Telmisartan,High Blood Pressure,28,6.36,0.6236,1394
Edarbi,High Blood Pressure,14,6.36,0.618,195
Metoprolol Tartrate,High Blood Pressure,5,6.2,0.6173,207
Amlodipine / benazepril,High Blood Pressure,29,6.21,0.6165,821
Propranolol,High Blood Pressure,19,5.95,0.6165,540
Exforge,High Blood Pressure,39,6.13,0.6139,1138
Nifedipine,High Blood Pressure,25,5.72,0.613,746
Zestril,High Blood Pressure,9,6.44,0.6123,674
Terazosin,High Blood Pressure,8,6.88,0.6088,267
Azilsartan medoxomil,High Blood Pressure,17,6.47,0.6008,203
Valsartan,High Blood Pressure,80,5.81,0.5922,3864
Diltiazem,High Blood Pressure,28,6.46,0.5914,1081
Hydrochlorothiazide / triamterene,High Blood Pressure,28,5.86,0.5839,987
Avapro,High Blood Pressure,26,5.12,0.5806,1854
Inderal,High Blood Pressure,6,4.83,0.5806,249
Losartan,High Blood Pressure,220,5.5,0.5714,15175
Furosemide,High Blood Pressure,8,6.5,0.5683,173
Candesartan,High Blood Pressure,15,5.0,0.5534,365
Lasix,High Blood Pressure,5,6.8,0.5417,141
Lisinopril,High Blood Pressure,351,5.23,0.5405,17231
Prazosin,High Blood Pressure,7,5.14,0.538,100
Benazepril,High Blood Pressure,11,5.91,0.5333,172
Irbesartan,High Blood Pressure,46,4.91,0.5258,2387
Carvedilol,High Blood Pressure,47,4.43,0.5151,2449
Amlodipine,High Blood Pressure,216,4.62,0.5106,14523
Perindopril,High Blood Pressure,10,6.4,0.5082,153
Coreg,High Blood Pressure,13,5.0,0.5068,927
Norvasc,High Blood Pressure,56,4.5,0.4875,6197
Dyazide,High Blood Pressure,5,5.4,0.4771,234
Enalapril,High Blood Pressure,8,5.75,0.469,175
Chlorthalidone,High Blood Pressure,6,4.17,0.4095,93
Hydralazine,High Blood Pressure,18,2.72,0.3811,650
Colesevelam,High Cholesterol,9,7.22,0.8245,360
Welchol,High Cholesterol,9,7.22,0.8245,360
Ezetimibe / simvastatin,High Cholesterol,15,7.8,0.8127,418
Vytorin,High Cholesterol,15,7.8,0.8127,418
Gemfibrozil,High Cholesterol,14,6.79,0.7082,397
Crestor,High Cholesterol,67,6.39,0.655,4450
Praluent,High Cholesterol,15,6.07,0.6399,345
Rosuvastatin,High Cholesterol,73,6.21,0.6367,4507
Pravachol,High Cholesterol,7,6.14,0.6324,902
Niacin / simvastatin,High Cholesterol,7,6.71,0.625,45
Simcor,High Cholesterol,7,6.71,0.625,45
Alirocumab,High Cholesterol,16,5.75,0.6207,347
Niacin,High Cholesterol,35,6.23,0.6156,779
Livalo,High Cholesterol,41,5.8,0.609,2055
Pitavastatin,High Cholesterol,41,5.8,0.609,2055
Niaspan,High Cholesterol,22,5.86,0.5867,481
Lipitor,High Cholesterol,41,5.37,0.5727,4333
Zocor,High Cholesterol,16,5.5,0.5609,1349
Trilipix,High Cholesterol,8,5.12,0.5531,186
Evolocumab,High Cholesterol,31,5.52,0.5404,903
Atorvastatin,High Cholesterol,100,5.06,0.525,6673
Lovastatin,High Cholesterol,10,5.5,0.5192,213
Zetia,High Cholesterol,28,5.46,0.5141,1927
Repatha,High Cholesterol,28,5.14,0.5088,903
Fenofibric acid,High Cholesterol,10,4.7,0.5047,198
Simvastatin,High Cholesterol,77,5.01,0.5,3205
Ezetimibe,High Cholesterol,34,5.12,0.4877,1992
Pravastatin,High Cholesterol,27,4.78,0.4306,2368
Alirocumab,"High Cholesterol, Familial Heterozygous",7,8.14,0.8345,94
Praluent,"High Cholesterol, Familial Heterozygous",7,8.14,0.8345,94
Rosuvastatin,"High Cholesterol, Familial Heterozygous",7,8.71,0.7907,305
Ezetimibe,"High Cholesterol, Familial Heterozygous",7,7.57,0.7781,420
Zetia,"High Cholesterol, Familial Heterozygous",6,8.17,0.7564,411
Repatha,"High Cholesterol, Familial Heterozygous",12,8.58,0.7364,323
Crestor,"High Cholesterol, Familial Heterozygous",5,8.2,0.7117,297
Evolocumab,"High Cholesterol, Familial Heterozygous",15,7.93,0.696,323
Vaniqa,Hirsutism,51,8.24,0.8434,2433
Eflornithine,Hirsutism,53,8.09,0.8348,2442
Spironolactone,Hirsutism,18,7.94,0.8096,1083
Bazedoxifene / conjugated estrogens,Hot Flashes,5,9.4,0.9463,90
Duavee,Hot Flashes,5,9.4,0.9463,90
Gabapentin,Hot Flashes,73,8.85,0.8757,3048
Effexor XR,Hot Flashes,15,8.8,0.8587,1611
Venlafaxine,Hot Flashes,62,7.5,0.7901,4104
Fluoxetine,Hot Flashes,18,7.94,0.7863,556
Paroxetine,Hot Flashes,72,7.15,0.7581,2295
Brisdelle,Hot Flashes,28,6.57,0.7164,1183
Duloxetine,Hot Flashes,9,6.33,0.5836,177
Citalopram,Hot Flashes,5,4.2,0.4797,46
Aldara,Human Papilloma Virus,16,7.94,0.8502,445
Imiquimod,Human Papilloma Virus,121,7.26,0.7735,1755
Human papillomavirus vaccine,Human Papillomavirus Prophylaxis,21,6.24,0.5487,193
Gardasil,Human Papillomavirus Prophylaxis,20,6.05,0.5305,189
Drysol,Hyperhidrosis,209,9.06,0.911,2201
Aluminum chloride hexahydrate,Hyperhidrosis,433,8.97,0.9033,3919
Oxybutynin,Hyperhidrosis,48,8.31,0.8992,1605
Hypercare,Hyperhidrosis,203,8.85,0.8935,1594
Xerac AC,Hyperhidrosis,9,9.22,0.867,66
Fenofibrate,Hyperlipoproteinemia,6,5.17,0.3713,390
Sevelamer,Hyperphosphatemia of Renal Failure,8,5.38,0.6835,58
Renvela,Hyperphosphatemia of Renal Failure,5,4.0,0.5711,48
Dostinex,Hyperprolactinemia,8,8.62,0.7391,179
Cabergoline,Hyperprolactinemia,34,8.0,0.6882,543
Parlodel,Hyperprolactinemia,10,6.7,0.6556,231
Bromocriptine,Hyperprolactinemia,16,5.69,0.6298,269
Armodafinil,Hypersomnia,27,6.59,0.7616,331
Caffeine,Hypersomnia,14,7.43,0.7578,190
Nuvigil,Hypersomnia,22,6.5,0.732,321
Modafinil,Hypersomnia,11,6.91,0.7013,112
NoDoz,Hypersomnia,9,6.67,0.6816,136
Clonidine,Hypertensive Emergency,7,8.71,0.8909,163
Methimazole,Hyperthyroidism,12,5.75,0.5254,435
Icosapent,Hypertriglyceridemia,19,9.0,0.8991,499
Vascepa,Hypertriglyceridemia,19,9.0,0.8991,499
Omega-3 polyunsaturated fatty acids,Hypertriglyceridemia,7,8.14,0.7906,351
Fenofibrate,Hypertriglyceridemia,21,6.38,0.6442,914
TriCor,Hypertriglyceridemia,7,6.0,0.5766,543
Fenofibric acid,Hypertriglyceridemia,10,5.5,0.5354,210
Trilipix,Hypertriglyceridemia,8,4.75,0.4661,205
Estradiol,Hypoestrogenism,12,7.67,0.8611,357
Depo-Testosterone,"Hypogonadism, Male",5,9.4,0.8493,159
Fortesta,"Hypogonadism, Male",23,6.91,0.8337,698
Axiron,"Hypogonadism, Male",87,7.6,0.8096,3121
Testosterone,"Hypogonadism, Male",375,7.38,0.7941,12607
Androderm,"Hypogonadism, Male",20,7.2,0.7652,619
AndroGel,"Hypogonadism, Male",78,7.55,0.7605,4772
Testim,"Hypogonadism, Male",84,6.42,0.7495,1871
Testopel,"Hypogonadism, Male",7,6.0,0.7483,124
Cytomel,"Hypothyroidism, After Thyroid Removal",5,9.4,0.8357,617
Liothyronine,"Hypothyroidism, After Thyroid Removal",9,9.11,0.8174,776
Tirosint,"Hypothyroidism, After Thyroid Removal",8,8.75,0.7917,316
Levoxyl,"Hypothyroidism, After Thyroid Removal",6,7.83,0.7643,168
Thyroid desiccated,"Hypothyroidism, After Thyroid Removal",24,7.92,0.7557,1463
Synthroid,"Hypothyroidism, After Thyroid Removal",39,7.08,0.7015,2385
Armour Thyroid,"Hypothyroidism, After Thyroid Removal",15,6.93,0.6821,846
Levothyroxine,"Hypothyroidism, After Thyroid Removal",72,6.76,0.679,3160
Altabax,Impetig,6,8.17,0.8144,46
Retapamulin,Impetig,6,8.17,0.8144,46
Calcium carbonate,Indigestion,7,7.43,0.9271,21
Magnesium hydroxide,Indigestion,7,8.86,0.8046,77
Ranitidine,Indigestion,10,7.7,0.7749,161
Omeprazole,Indigestion,11,8.36,0.7449,280
Sulfamethoxazole / trimethoprim,Infection Prophylaxis,5,7.4,0.7483,26
Entocort EC,Inflammatory Bowel Disease,7,8.29,0.7642,323
Budesonide,Inflammatory Bowel Disease,12,8.42,0.7527,434
Medrol Dosepak,Inflammatory Conditions,5,9.2,0.8996,308
Mobic,Inflammatory Conditions,29,6.93,0.8354,2213
Meloxicam,Inflammatory Conditions,115,6.78,0.7428,5258
Prednisone,Inflammatory Conditions,82,7.76,0.7294,3594
Depo-Medrol,Inflammatory Conditions,5,7.8,0.7195,324
Methylprednisolone,Inflammatory Conditions,112,7.56,0.6994,4409
Dexamethasone,Inflammatory Conditions,30,6.07,0.552,388
Decadron,Inflammatory Conditions,7,3.0,0.3099,107
Prednisolone,Inflammatory Conditions,8,4.5,0.2696,59
Tamiflu,Influenza,227,6.89,0.6583,2273
Oseltamivir,Influenza,233,6.92,0.6577,2274
Oseltamivir,Influenza Prophylaxis,6,4.67,0.474,29
FluMist,Influenza Prophylaxis,9,3.33,0.4347,48
"Influenza virus vaccine, live, trivalent",Influenza Prophylaxis,10,3.1,0.4135,48
Edluar,Insomnia,8,8.88,0.9521,79
Quazepam,Insomnia,5,9.6,0.9436,69
Halcion,Insomnia,19,9.21,0.9348,704
Estazolam,Insomnia,14,9.43,0.9211,241
Triazolam,Insomnia,36,9.17,0.9205,961
Neurontin,Insomnia,5,8.2,0.9153,505
Klonopin,Insomnia,14,9.0,0.8994,1286
Intermezzo,Insomnia,6,9.67,0.8816,122
Secobarbital,Insomnia,5,10.0,0.8806,214
Seroquel,Insomnia,61,8.28,0.8748,2291
Dalmane,Insomnia,11,8.73,0.8742,543
Somnote,Insomnia,9,9.11,0.8678,116
Remeron,Insomnia,21,7.81,0.8591,1493
Ativan,Insomnia,21,7.48,0.844,2019
Flurazepam,Insomnia,21,8.57,0.8433,641
Chloral hydrate,Insomnia,16,8.44,0.8405,168
Restoril,Insomnia,58,7.66,0.8365,3643
Sominex,Insomnia,19,7.37,0.8353,712
Lorazepam,Insomnia,59,8.08,0.8325,4446
Quetiapine,Insomnia,243,7.95,0.8278,9226
Zyprexa,Insomnia,15,7.13,0.7973,683
Seroquel XR,Insomnia,6,8.17,0.7958,278
Clonazepam,Insomnia,103,7.54,0.7944,5913
Gabapentin,Insomnia,63,7.79,0.7935,2883
Zolpimist,Insomnia,6,6.83,0.7927,32
Olanzapine,Insomnia,27,7.33,0.7823,891
Elavil,Insomnia,18,7.61,0.774,1723
Amitriptyline,Insomnia,148,7.19,0.7737,8594
Mirtazapine,Insomnia,163,7.39,0.7623,8306
Zolpidem,Insomnia,623,7.34,0.759,13537
Ambien,Insomnia,381,7.36,0.7557,11123
Temazepam,Insomnia,232,6.82,0.7464,7847
Acetaminophen / diphenhydramine,Insomnia,16,7.06,0.7427,358
Trazodone,Insomnia,517,6.69,0.7255,25978
Melatonin,Insomnia,125,6.89,0.7194,3893
Doxylamine,Insomnia,102,6.83,0.7148,3200
Ambien CR,Insomnia,59,6.88,0.7104,1390
Tylenol PM,Insomnia,11,6.36,0.7018,306
Diphenhydramine,Insomnia,84,6.46,0.6821,1496
Silenor,Insomnia,95,6.85,0.6799,4991
Diphenhydramine / naproxen,Insomnia,11,6.27,0.6798,139
Doxepin,Insomnia,170,6.54,0.6731,7126
Lunesta,Insomnia,172,6.52,0.6693,4596
Desyrel,Insomnia,11,6.09,0.6595,356
Eszopiclone,Insomnia,210,6.22,0.6559,4787
Unisom SleepTabs,Insomnia,34,6.06,0.6293,1421
Sonata,Insomnia,42,5.67,0.6227,1703
Zaleplon,Insomnia,74,5.58,0.6138,2087
Nytol,Insomnia,5,6.6,0.6137,42
Rozerem,Insomnia,53,4.85,0.5655,1806
Ramelteon,Insomnia,61,4.64,0.5389,1843
